year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,5.296,6.593333333333334,5.940952380952381,4.9239999999999995,4.5807692307692305,8.02,7.05,4.738333333333333,4.090285714285714,7.961111111111112
2009,5.21,6.613333333333333,5.928571428571429,4.9176,4.556153846153847,7.890000000000001,6.9925,4.743333333333333,4.116,7.937222222222222
2010,5.234,6.591666666666666,5.946190476190476,4.8952,4.537692307692307,7.875,6.98,4.758333333333334,4.113428571428571,7.936666666666666
2011,5.36,6.579999999999999,5.968095238095238,4.9456,4.562307692307693,7.745,6.985,4.763333333333334,4.121714285714286,7.9350000000000005
2012,5.436,6.521666666666666,5.935714285714286,4.9244,4.468461538461539,7.75,6.9575000000000005,4.763333333333333,4.131428571428572,7.922222222222222
2013,5.486,6.484999999999999,5.935238095238096,4.9239999999999995,4.333076923076923,7.765000000000001,6.967499999999999,4.7475,4.180000000000001,7.888333333333334
2014,5.5920000000000005,6.6066666666666665,5.982857142857143,4.934,4.437692307692307,7.800000000000001,6.777500000000001,4.785833333333334,4.24,7.953888888888888
2015,5.542,6.758333333333333,5.91047619047619,4.9508,4.566923076923077,7.985,6.6625000000000005,4.849166666666666,4.225714285714286,7.977222222222222
2016,5.576,6.7316666666666665,5.904761904761905,4.9144,4.57923076923077,8.035,6.6575,4.886666666666667,4.239428571428571,7.921666666666667
2017,5.593999999999999,6.741666666666667,5.936190476190476,4.9344,4.571538461538461,8.055,6.695,4.88,4.315142857142857,7.885000000000001
2018,5.678,6.75,5.968571428571429,4.9172,4.633846153846154,7.84,6.6625,4.923333333333333,4.325714285714286,7.817777777777778
2019,5.75,6.6816666666666675,5.984285714285714,4.9319999999999995,4.702307692307692,7.789999999999999,6.6825,4.931666666666667,4.331428571428571,7.817222222222223
