East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
9.625,9.614583333333334,8.766666666666666,4.865384615384615,9.405409376534566,8.71875,6.045454545454546,5.632758620689655,9.8125
9.625,9.614583333333334,8.766666666666666,4.865384615384615,9.461122587458693,8.71875,6.045454545454546,5.632758620689655,9.8125
9.625,9.614583333333334,8.766666666666666,4.865384615384615,9.459985337150213,8.71875,6.045454545454546,5.632758620689655,9.8125
9.625,9.614583333333334,8.766666666666666,4.865384615384615,9.875,8.71875,6.045454545454546,5.632758620689655,9.8125
9.625,9.614583333333334,8.766666666666666,4.865384615384615,9.875,8.71875,6.045454545454546,5.632758620689655,9.8125
9.625,9.614583333333334,8.766666666666666,4.865384615384615,9.875,8.71875,6.045454545454546,5.632758620689655,9.8125
9.625,9.614583333333334,8.766666666666666,4.865384615384615,9.875,8.71875,6.045454545454546,5.632758620689655,9.8125
9.625,9.614583333333334,8.766666666666666,4.865384615384615,9.875,8.71875,6.2727272727272725,5.632758620689655,9.8125
9.625,9.614583333333334,9.0,4.865384615384615,9.875,8.71875,6.2727272727272725,5.632758620689655,9.8125
9.625,9.614583333333334,9.0,4.865384615384615,9.875,8.71875,6.2727272727272725,5.632758620689655,9.8125
9.625,9.614583333333334,9.0,4.865384615384615,9.875,8.71875,6.2727272727272725,5.632758620689655,9.8125
9.625,9.5234375,9.011666666666667,4.151923076923077,9.875,8.71875,6.136363636363637,5.73448275862069,9.8125
9.625,9.5234375,9.011666666666667,4.151923076923077,9.875,8.71875,6.136363636363637,5.73448275862069,9.8125
9.5,9.4140625,8.616666666666667,3.911538461538462,10.0,8.75,5.454545454545454,5.900862068965517,9.82638888888889
9.5,9.4921875,8.616666666666667,3.911538461538462,10.0,8.75,5.681818181818182,5.857758620689655,9.82638888888889
9.5,9.4921875,8.616666666666667,3.911538461538462,10.0,8.75,5.681818181818182,5.857758620689655,9.82638888888889
9.5,9.4921875,8.666666666666666,3.911538461538462,10.0,8.75,5.681818181818182,5.857758620689655,9.82638888888889
9.75,9.453125,8.975,3.8230769230769233,10.0,8.90625,5.795454545454546,6.055114942528736,9.791666666666666
9.75,9.453125,9.075,3.8226923076923076,10.0,8.90625,5.909090909090909,6.053063218390805,9.791666666666666
9.75,9.453125,9.075,3.8226923076923076,10.0,8.90625,5.909090909090909,6.137977011494252,9.791666666666666
9.75,9.453125,9.075,3.8226923076923076,10.0,8.90625,5.909090909090909,6.224183908045976,9.791666666666666
