Country,legalOrigin
Albania,Civil Law
Angola,Civil Law
Argentina,Civil Law
Andorra,Civil Law
Armenia,Civil Law
Aruba,Civil Law
Austria,Civil Law
Azerbaijan,Civil Law
Belarus,Civil Law
Belgium,Civil Law
Benin,Civil Law
Bolivia,Civil Law
Bosnia and Herzegovina,Civil Law
Brazil,Civil Law
Bulgaria,Civil Law
Burkina Faso,Civil Law
Burundi,Civil Law
Chad,Civil Law
People's Republic of China,Civil Law
Republic of the Congo,Civil Law
the Democratic Republic of the Congo,Civil Law
Cambodia,Civil Law
Cape Verde,Civil Law
Central African Republic,Civil Law
Chile,Civil Law
Colombia,Civil Law
Costa Rica,Civil Law
Croatia,Civil Law
Cuba,Civil Law
Curaçao,Civil Law
Czech Republic,Civil Law
Denmark,Civil Law
Dominican Republic,Civil Law
Ecuador,Civil Law
El Salvador,Civil Law
Estonia,Civil Law
Finland,Civil Law
France,Civil Law
Egypt,Civil Law
Equatorial Guinea,Civil Law
Ethiopia,Civil Law
Gabon,Civil Law
Guinea,Civil Law
Guinea-Bissau,Civil Law
Georgia,Civil Law
Germany,Civil Law
Greece,Civil Law
Guatemala,Civil Law
Haiti,Civil Law
Honduras,Civil Law
Hungary,Civil Law
Iceland,Civil Law
"India (only State of Goa, and Union Territories of Daman and Diu and Dadra and Nagar Haveli)",Civil Law
Italy,Civil Law
Ivory Coast,Civil Law
Japan,Civil Law
Latvia,Civil Law
Lebanon,Civil Law
Lithuania,Civil Law
Luxembourg,Civil Law
Macau,Civil Law
Mexico,Civil Law
Mongolia,Civil Law
Montenegro,Civil Law
Mozambique,Civil Law
Netherlands,Civil Law
Nepal,Civil Law
Norway,Civil Law
Panama,Civil Law
Paraguay,Civil Law
Peru,Civil Law
Poland,Civil Law
Portugal,Civil Law
Taiwan (Republic of China),Civil Law
Romania,Civil Law
Russia,Civil Law
Rwanda,Civil Law
São Tomé e Príncipe,Civil Law
Serbia,Civil Law
Slovakia,Civil Law
Slovenia,Civil Law
South Korea,Civil Law
Spain,Civil Law
Suriname,Civil Law
Sweden,Civil Law
Switzerland,Civil Law
Syria,Civil Law
Timor-Leste,Civil Law
Turkey,Civil Law
Ukraine,Civil Law
United States – Louisiana,Civil Law
Uruguay,Civil Law
Uzbekistan,Civil Law
Vietnam,Civil Law
Venezuela,Civil Law
American Samoa,Common Law
Antigua and Barbuda,Common Law
Australia,Common Law
Bahamas,Common Law
Bangladesh,Common Law
Barbados,Common Law
Belize,Common Law
Bhutan,Common Law
British Virgin Islands,Common Law
Canada,Common Law
Cayman Islands,Common Law
Cyprus,Common Law
Dominica,Common Law
England and Wales (UK),Common Law
Fiji,Common Law
Gibraltar,Common Law
Ghana,Common Law
Grenada,Common Law
Hong Kong,Common Law
India,Common Law
Ireland,Common Law
Israel,Common Law
Jamaica,Common Law
Kiribati,Common Law
Liberia,Common Law
Marshall Islands,Common Law
Myanmar,Common Law
Nauru,Common Law
Nepal,Common Law
New Zealand,Common Law
Northern Ireland (UK),Common Law
Palau,Common Law
Pakistan[20],Common Law
Papua New Guinea,Common Law
Saint Kitts and Nevis,Common Law
Saint Vincent and the Grenadines,Common Law
Singapore,Common Law
Tonga,Common Law
Trinidad and Tobago,Common Law
Tuvalu,Common Law
Uganda,Common Law
United States,Common Law
Afghanistan,Religious Law
Iran,Religious Law
Nigeria,Religious Law
Saudi Arabia,Religious Law
Yemen,Religious Law
Botswana,Civil and Common Law
Cameroon,Civil and Common Law
Cyprus,Civil and Common Law
Eswatini,Civil and Common Law
Guyana,Civil and Common Law
Jersey,Civil and Common Law
Kenya,Civil and Common Law
Lesotho,Civil and Common Law
Louisiana (U.S.),Civil and Common Law
Malta,Civil and Common Law
Mauritius,Civil and Common Law
Namibia,Civil and Common Law
Philippines,Civil and Common Law
Puerto Rico (U.S.),Civil and Common Law
Quebec (Canada),Civil and Common Law
Saint Lucia,Civil and Common Law
Scotland (UK),Civil and Common Law
Seychelles,Civil and Common Law
South Africa,Civil and Common Law
Sri Lanka,Civil and Common Law
Thailand,Civil and Common Law
Vanuatu,Civil and Common Law
Zimbabwe,Civil and Common Law
Algeria,Civil and Sharia Law
Bahrain,Civil and Sharia Law
Comoros,Civil and Sharia Law
Djibouti,Civil and Sharia Law
Egypt,Civil and Sharia Law
Eritrea,Civil and Sharia Law
Jordan,Civil and Sharia Law
Mauritania,Civil and Sharia Law
Mauritius,Civil and Sharia Law
Morocco,Civil and Sharia Law
Oman,Civil and Sharia Law
Qatar,Civil and Sharia Law
Syria,Civil and Sharia Law
United Arab Emirates,Civil and Sharia Law
Bangladesh,Common and Sharia Law
Brunei,Common and Sharia Law
The Gambia,Common and Sharia Law
India,Common and Sharia Law
Malaysia,Common and Sharia Law
Nigeria,Common and Sharia Law
Pakistan,Common and Sharia Law
United Arab[30],Common and Sharia Law
